duration,significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse
25.0,16,1.52587890625e-05,875,0.02857142857142857,512,0.0008957554044260356,8.023777445584505e-07,7.460168502294474e-07,7.291844222665082e-07,7.319332229194231e-08,7.33365577563101e-08,8.193534079857575e-07
25.0,16,1.52587890625e-05,1000,0.025,512,0.0007303509399428552,5.33412495475412e-07,4.3730276189083513e-07,4.473283761425489e-07,8.60841193328632e-08,8.625258140592163e-08,5.235553432967568e-07
25.0,16,1.52587890625e-05,1125,0.022222222222222223,512,0.0006058898881423528,3.6710255655315275e-07,2.730065507918274e-07,2.695921155536707e-07,9.751044099948203e-08,9.770126378030295e-08,3.7070781457213034e-07
25.0,16,1.52587890625e-05,1250,0.02,512,0.0005272642131351998,2.780075504530814e-07,1.7911987407769592e-07,1.7195173615573585e-07,1.0605581429734556e-07,1.062633599221936e-07,2.853832339998895e-07
25.0,16,1.52587890625e-05,1375,0.01818181818181818,512,0.000486024500403615,2.362198149925836e-07,1.2234142345370425e-07,1.1836195130191005e-07,1.1785786369067353e-07,1.1808850530259266e-07,2.404299287562969e-07
25.0,16,1.52587890625e-05,1500,0.016666666666666666,512,0.00046354982962319496,2.1487844454369305e-07,8.638128524976287e-08,7.857306250678771e-08,1.3630538203690534e-07,1.3657212446750593e-07,2.229534097172688e-07
25.0,16,1.52587890625e-05,1625,0.015384615384615385,512,0.0004428932877425357,1.9615446432739254e-07,6.27150147510389e-08,5.66504564818225e-08,1.3950400784557004e-07,1.3977700981787056e-07,2.0249202456890946e-07
25.0,16,1.52587890625e-05,1750,0.014285714285714285,512,0.00043270586552176675,1.8723436605694129e-07,4.662652259952895e-08,4.455377654699429e-08,1.42680589509947e-07,1.4295980788472186e-07,1.8958633048425082e-07
25.0,16,1.52587890625e-05,1875,0.013333333333333334,512,0.00042757392711331276,1.828194631471005e-07,3.538183235563416e-08,3.210565105001972e-08,1.507138120970808e-07,1.5100875106400268e-07,1.8639058341963684e-07
25.0,16,1.52587890625e-05,2000,0.0125,512,0.0004386461802717036,1.9241047146695587e-07,2.733163289820143e-08,1.963672882094067e-08,1.727737426460152e-07,1.7311185173142813e-07,2.0044348462962955e-07
25.0,16,1.52587890625e-05,2125,0.011764705882352941,512,0.00046051184029760443,2.1207115505428634e-07,2.144618019127277e-08,2.3920595088825403e-08,1.8815055996546093e-07,1.8851876066989432e-07,2.099649408611671e-07
25.0,16,1.52587890625e-05,2250,0.011111111111111112,512,0.000440398533121245,1.939508679753443e-07,1.7063013008969122e-08,1.4038558536088031e-08,1.799123094392563e-07,1.8026438832269905e-07,1.9732740133166817e-07
25.0,16,1.52587890625e-05,2375,0.010526315789473684,512,0.00046321687499806843,2.1456987328297614e-07,1.3744578571316276e-08,8.50917017117724e-09,2.0606070311179892e-07,2.0646395302004117e-07,2.2020853159135746e-07
25.0,16,1.52587890625e-05,2500,0.01,512,0.000490203841535594,2.4029980625625376e-07,1.119504712687437e-08,1.1486086340465724e-08,2.2881371991578803e-07,2.292614962757015e-07,2.404565434025759e-07
25.0,16,1.52587890625e-05,2625,0.009523809523809525,512,0.0004795703758512958,2.299877453941531e-07,9.210194374636844e-09,9.938110935722921e-09,2.2004963445843018e-07,2.2048025996617661e-07,2.2969045434081347e-07
25.0,16,1.52587890625e-05,2750,0.00909090909090909,512,0.0005030643342501757,2.530737243945725e-07,7.646369987117342e-09,7.901397121181723e-09,2.451723272733908e-07,2.45652116563554e-07,2.532984865506713e-07
25.0,16,1.52587890625e-05,2875,0.008695652173913044,512,0.0004963011481392471,2.4631482964433487e-07,6.4008070780651945e-09,5.532444114398604e-09,2.4078238552993625e-07,2.412535839360614e-07,2.4765439101412657e-07
25.0,16,1.52587890625e-05,3000,0.008333333333333333,512,0.0004891221002524367,2.392404289553548e-07,5.398848722809053e-09,4.956989251357533e-09,2.3428343970399723e-07,2.347419200165295e-07,2.4014076873933854e-07
25.0,16,1.52587890625e-05,3125,0.008,512,0.000520919567049509,2.7135719533504796e-07,4.5854939975574495e-09,3.3894249174493055e-09,2.6796777041759867e-07,2.6849216918553915e-07,2.730776631830966e-07
25.0,16,1.52587890625e-05,3250,0.007692307692307693,512,0.00050640655690943,2.5644760088086373e-07,3.919699797676373e-09,4.774798782384447e-09,2.516728020984793e-07,2.5216531247440584e-07,2.560850122720822e-07
25.0,16,1.52587890625e-05,3375,0.007407407407407408,512,0.0005561359496812161,3.0928719452782813e-07,3.370475481056834e-09,3.363449524672138e-09,3.05923745003156e-07,3.0652242160785886e-07,3.098928970889157e-07
25.0,16,1.52587890625e-05,3500,0.007142857142857143,512,0.0005431563594524594,2.9501883081364926e-07,2.9141649515342254e-09,2.002342018776507e-09,2.9301648879487274e-07,2.935899065811641e-07,2.965040715326983e-07
25.0,16,1.52587890625e-05,3625,0.006896551724137931,512,0.0005475529926831699,2.9981427979629556e-07,2.5325281944177753e-09,4.925545531653303e-09,2.9488873426464224e-07,2.95465815936393e-07,2.979983441308108e-07
25.0,16,1.52587890625e-05,3750,0.006666666666666667,512,0.0005630007836656351,3.169698824081192e-07,2.211369339156975e-09,3.91532996044122e-09,3.13054552447678e-07,3.1366718366577523e-07,3.158785530049322e-07
25.0,16,1.52587890625e-05,3875,0.0064516129032258064,512,0.0005686556228182865,3.233692173628533e-07,1.939543602275481e-09,3.7151648576283615e-09,3.1965405250522494e-07,3.202795985962332e-07,3.222191421985087e-07
25.0,16,1.52587890625e-05,4000,0.00625,512,0.0005923411912283811,3.5086808682585756e-07,1.7082303257940244e-09,3.2352738455212187e-09,3.476328129803363e-07,3.4831311202726455e-07,3.500213423530586e-07
25.0,16,1.52587890625e-05,4125,0.006060606060606061,512,0.000617827024943043,3.817102327499715e-07,1.5103952035874869e-09,3.0187102290674985e-10,3.814083617270647e-07,3.821547577382723e-07,3.8366515294185975e-07
25.0,16,1.52587890625e-05,4250,0.0058823529411764705,512,0.0005879651800443885,3.4570305294463024e-07,1.3403885344753733e-09,1.160531820039075e-09,3.4454252112459116e-07,3.452167726336412e-07,3.465571611681166e-07
25.0,16,1.52587890625e-05,4375,0.005714285714285714,512,0.0006093753940714438,3.713383708997274e-07,1.1936423220720136e-09,1.3721268149201281e-09,3.6996624408480727e-07,3.7069024847636264e-07,3.7188389079843464e-07
25.0,16,1.52587890625e-05,4500,0.005555555555555556,512,0.0006201389345021,3.8457229808539985e-07,1.0664399258619628e-09,1.046987963975643e-09,3.835253101214242e-07,3.8427584888878513e-07,3.853422888146471e-07
25.0,16,1.52587890625e-05,4625,0.005405405405405406,512,0.0006491714990218448,4.2142363514226906e-07,9.557394538269286e-10,9.072216737499603e-10,4.205164134685191e-07,4.213393418706101e-07,4.2229508132443703e-07
