precision,steps,h,replicates,rms_state_error,median_state_error,q90_state_error,rms_relative_energy_error
fp32,64,1.5625,128,1.940258299742308,1.9307382639849218,2.3536617753829594,0.8709234612036538
fp32,128,0.78125,128,1.961626887705532,1.9583041863341044,2.025719431277425,0.09490463684582981
fp32,256,0.390625,128,0.6357373324462777,0.6357767925283166,0.637722959779262,0.0032940563216509195
fp32,512,0.1953125,128,0.15947958635515255,0.15935700558441063,0.16108448839914588,0.0025464089231360823
fp32,1024,0.09765625,128,0.03978377802063666,0.03972034043550576,0.04029984491126504,0.0008206465046245142
fp32,2048,0.048828125,128,0.009938818578350855,0.009922508602098316,0.010075134769835983,0.00021603242353279353
fp32,4096,0.0244140625,128,0.0024841987537235054,0.0024801459556299888,0.0025186327844658653,5.489009873488517e-05
fp32,8192,0.01220703125,128,0.0006210263199571449,0.0006202617680475993,0.0006296095544433486,1.4703938108372064e-05
fp32,16384,0.006103515625,128,0.00015531661480817108,0.00015529047150528955,0.00015882851507135736,7.63720973180381e-06
fp32,32768,0.0030517578125,128,3.943341692016389e-05,3.960812748176328e-05,4.38922169752232e-05,7.290533522245817e-06
fp32,65536,0.00152587890625,128,1.1309686392251083e-05,1.0676120637829578e-05,1.5397543907101258e-05,9.412625298676305e-06
fp32,131072,0.000762939453125,128,2.7999015730875228e-05,2.7649569551322113e-05,3.9870013564213984e-05,5.028486816699237e-05
fp32,262144,0.0003814697265625,128,5.0055459158861995e-05,4.2330557817806346e-05,7.169096532328046e-05,8.299585132753446e-05
fp64,64,1.5625,128,1.94025824373219,1.9307384141022594,2.35366191001616,0.8709234693040235
fp64,128,0.78125,128,1.9616268969459594,1.958304353804649,2.0257193352118112,0.09490465745420705
fp64,256,0.390625,128,0.6357372950215453,0.635776669581622,0.637722954019196,0.003294078388302086
fp64,512,0.1953125,128,0.15947961261191204,0.15935757041665977,0.16108455261358384,0.0025465819889664955
fp64,1024,0.09765625,128,0.039783857859209806,0.03972015856218477,0.04030060927233101,0.0008204480070749338
fp64,2048,0.048828125,128,0.00993878150717818,0.009921997726419413,0.010074214232014878,0.00021593674638937447
fp64,4096,0.0244140625,128,0.0024842185329563104,0.002479969749958413,0.002518452586028488,5.464966729160593e-05
fp64,8192,0.01220703125,128,0.0006210243955950329,0.0006199589109900587,0.0006296062418835855,1.370383397588206e-05
fp64,16384,0.006103515625,128,0.00015525420225511098,0.0001549876257632299,0.0001574011196522229,3.428544317123796e-06
fp64,32768,0.0030517578125,128,3.881343191657937e-05,3.8746774964417675e-05,3.9350252214014276e-05,8.572976495262264e-07
fp64,65536,0.00152587890625,128,9.703350562346252e-06,9.686685520250095e-06,9.837561314365804e-06,2.1433451182355636e-07
fp64,131072,0.000762939453125,128,2.425837176483189e-06,2.4216708684644987e-06,2.4593902213918083e-06,5.358425215904412e-08
fp64,262144,0.0003814697265625,128,6.064592654139321e-07,6.054176751307887e-07,6.148475183415596e-07,1.339610142919247e-08
